country,population,r0,incubation,report,isolation,recover,die,init_cases,report_prop,confirmed_prop,pre_symp,die_prop,quarantine,report_local,rec2,die2,under_reporting
420100,14000000,2.5,6.4,3.8,3.8,18.2,14.7,2,0.1,1,0.075,0.038307,4,2,10.8,7.3,0.24
770000,47170000,2.5,6.4,3.8,3.8,18.2,14.7,1,0.1,1,0.075,0.015226089,4,2,10.8,7.3,0.24
110000,21542000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.007246377,4,2,10.8,7.3,0.24
120000,15596000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.008356546,4,2,10.8,7.3,0.24
130000,75563000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.009287926,4,2,10.8,7.3,0.24
140000,37183400,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0,4,2,10.8,7.3,0.24
150000,25340000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.003472222,4,2,10.8,7.3,0.24
210000,43593000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.007017544,4,2,10.8,7.3,0.24
220000,27040000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.005025126,4,2,10.8,7.3,0.24
230000,37730000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.009665428,4,2,10.8,7.3,0.24
310000,24237800,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.00625,4,2,10.8,7.3,0.24
320000,80507000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0,4,2,10.8,7.3,0.24
330000,57370000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,3.99E-04,4,2,10.8,7.3,0.24
340000,63236000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.003028773,4,2,10.8,7.3,0.24
350000,39410000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.001536098,4,2,10.8,7.3,0.24
360000,46476000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,5.34E-04,4,2,10.8,7.3,0.24
370000,100472400,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.004510309,4,2,10.8,7.3,0.24
410000,96050000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.008624069,4,2,10.8,7.3,0.24
430000,68988000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.001963672,4,2,10.8,7.3,0.24
440000,113460000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.4,1,0.075,0.002651641,4,2,10.8,7.3,0.24
450000,49260000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.003960396,4,2,10.8,7.3,0.24
460000,9343200,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.017910448,4,2,10.8,7.3,0.24
500000,31017900,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.005194805,4,2,10.8,7.3,0.24
510000,83410000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.00270027,4,2,10.8,7.3,0.24
520000,36000000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.006825939,4,2,10.8,7.3,0.24
530000,48295000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.005617978,4,2,10.8,7.3,0.24
540000,3440000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0,4,2,10.8,7.3,0.24
610000,38644000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.005952381,4,2,10.8,7.3,0.24
620000,26372600,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.007220217,4,2,10.8,7.3,0.24
630000,6032300,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0,4,2,10.8,7.3,0.24
640000,6881100,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0,4,2,10.8,7.3,0.24
650000,24870000,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.019736842,4,2,10.8,7.3,0.24
901,8593087,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.029171316,4,2,10.8,7.3,0.22
902,10044996,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.092421826,4,2,10.8,7.3,0.063
903,8793125,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.017174933,4,2,10.8,7.3,0.29
904,65712599,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.083055632,4,2,10.8,7.3,0.051
905,66635515,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.117175631,4,2,10.8,7.3,0.048
906,83294524,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.018523429,4,2,10.8,7.3,0.25
907,46389213,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.069214506,4,2,10.8,7.3,0.085
908,60597480,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.095859907,4,2,10.8,7.3,0.073
909,5263178,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.021205357,4,2,10.8,7.3,0.4
910,17029098,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.101131822,4,2,10.8,7.3,0.074
911,11319411,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.102841535,4,2,10.8,7.3,0.054
912,5732278,2.5,6.4,3.8,3.8,18.2,14.7,0.1,0.1,1,0.075,0.031399785,4,2,10.8,7.3,0.18
990000,324839024,2.5,6.4,3.8,3.8,18.2,14.7,0.1,1,1,0.075,0.039648683,4,2,10.8,7.3,0.13
